Distribución de personajes en la imagen,Estereotipos/Atributos de Género diferenciados,SUM de 1º ESO_SM,SUM de 1º ESO_Santillana,SUM de 1º ESO_VV,SUM de 2º ESO_SM,SUM de 2º ESO_Santillana,SUM de 2º ESO_VV
Hombres (1 o 2),Religioso/a,14,11,8,,,
Hombres (1 o 2),Resolutivo/a,1,1,0,,,
Hombres (1 o 2),Sumiso/a,2,1,0,,,
Hombres (1 o 2),Temerario/a,0,0,1,,,
Hombres (1 o 2),Tenaz,0,0,1,,,
Hombres (1 o 2),Trabajador/a,6,8,6,,,
Hombres (1 o 2),Valiente,18,16,8,,,
Hombres (1 o 2),Viril,3,7,4,,,
"Indeterminada (P. Ej.: Personajes ambiguos, bebés, etc.)",Indeterminado,1,0,3,,,
Mujeres (1 o 2),Activo/a,0,1,0,,,
Mujeres (1 o 2),Agresivo/a,0,1,0,,,
Mujeres (1 o 2),Amable,0,1,0,,,
Mujeres (1 o 2),Delicado/a,0,2,0,,,
Mujeres (1 o 2),Dotado/a de hermosura,0,3,0,,,
Mujeres (1 o 2),Educado/a,0,1,0,,,
Mujeres (1 o 2),Fuerte,0,1,0,,,
Mujeres (1 o 2),Independiente,0,1,0,,,
Mujeres (1 o 2),Indeterminado,0,2,0,,,
Mujeres (1 o 2),Intrépido/a,0,1,0,,,
Mujeres (1 o 2),No disponible,0,0,0,,,
Mujeres (1 o 2),Trabajador/a,0,0,1,,,
Mujeres (1 o 2),Valiente,0,1,0,,,
Suma total,,288,281,274,,,
